account,sales_agent,product,lead_score
Ontomedia,27,MG Advanced,100.0
Doncon,7,GTX Plus Pro,
Dalttechnology,19,MG Special,
Silis,20,MG Advanced,
Plussunin,12,GTXPro,
Blackzim,6,GTXPro,
Hottechi,9,MG Special,
Fasehatice,11,GTX Plus Basic,
Inity,14,MG Special,
Treequote,18,MG Special,
Mathtouch,20,GTX Basic,
unknow,12,MG Advanced,0.0
unknow,28,MG Special,
Finhigh,5,GTX Basic,
Fasehatice,7,GTX Plus Pro,2.0
Fasehatice,7,GTXPro,
Treequote,8,GTX Basic,
Blackzim,9,GTX Plus Basic,
Sumace,12,GTX Plus Pro,
Condax,4,GTX Basic,
unknow,16,MG Advanced,
Kinnamplus,17,GTXPro,
Konex,19,GTX Basic,
Sumace,20,MG Special,
Betatech,26,GTX Plus Pro,
Kinnamplus,29,MG Special,
Isdom,5,GTX Basic,97.0
unknow,6,GTXPro,0.0
Kan-code,11,GTX Basic,
Singletechno,22,GTX Basic,98.0
Konmatfix,2,GTX Plus Basic,
unknow,3,MG Advanced,
Hottechi,7,GTX Plus Basic,33.0
Hatfan,7,GTX Plus Basic,
Sunnamplex,7,GTX Plus Basic,
Codehow,8,GTX Basic,
unknow,9,GTX Basic,0.0
Singletechno,11,GTXPro,1.0
Isdom,18,MG Special,
Silis,20,MG Special,
Yearin,20,MG Special,
Stanredtax,0,GTX Plus Pro,
Bioplex,25,GTX Basic,
Labdrill,7,GTXPro,
unknow,9,MG Special,
Fasehatice,19,GTXPro,100.0
Genco Pura Olive Oil Company,1,GTX Plus Pro,
Domzoom,25,GTX Basic,
Opentech,27,GTX Plus Basic,100.0
Plexzap,4,GTX Basic,
Hatfan,7,GTXPro,
Konmatfix,8,GTX Basic,
dambase,13,GTX Basic,
Mathtouch,15,GTX Basic,
Betatech,18,MG Special,100.0
Y-corporation,19,GTX Basic,
unknow,12,GTX Basic,
unknow,24,GTX Plus Pro,
Konex,24,GTX Plus Basic,
Statholdings,26,GTX Basic,
Initech,27,GTX Plus Basic,1.0
Zencorporation,27,GTX Basic,
Fasehatice,3,GTX Plus Basic,99.0
Zumgoity,8,GTX Basic,97.0
Rundofase,13,GTX Basic,
Vehement Capital Partners,17,MG Special,
Isdom,18,GTX Plus Pro,99.0
unknow,19,MG Special,
Isdom,0,MG Advanced,
unknow,12,MG Advanced,
Finhigh,26,GTX Basic,
Silis,27,GTX Plus Basic,
Silis,29,GTX Plus Pro,98.0
Hottechi,7,GTXPro,
Kan-code,11,MG Special,
Hatfan,16,MG Special,
Plexzap,17,MG Special,
Gogozoom,18,MG Advanced,
Fasehatice,19,GTXPro,100.0
Initech,20,MG Special,
Initech,21,MG Advanced,0.0
Warephase,28,GTK 500,
Scotfind,28,GTX Plus Basic,99.0
Singletechno,28,MG Special,
Cancity,2,GTX Plus Basic,
Groovestreet,6,GTX Basic,
Finhigh,10,GTX Plus Basic,
Hatfan,19,GTXPro,
Isdom,0,MG Advanced,
unknow,25,GTX Plus Basic,0.0
Codehow,26,MG Advanced,
Kinnamplus,27,GTX Basic,
Isdom,2,GTX Basic,
Dalttechnology,7,GTX Basic,
Xx-holding,7,MG Special,
Faxquote,9,MG Special,
Donware,17,MG Special,
Ganjaflex,12,GTX Plus Basic,
Yearin,24,MG Advanced,
Donquadtech,25,GTX Plus Basic,
Blackzim,28,GTXPro,
Zoomit,3,MG Special,
Rundofase,5,GTX Basic,
Faxquote,7,GTX Basic,3.0
Sunnamplex,7,GTXPro,
Codehow,13,GTX Basic,
Domzoom,14,GTX Plus Basic,99.0
unknow,19,GTX Basic,
Sunnamplex,19,GTX Basic,
Bioholding,0,GTX Plus Pro,
Dontechi,2,GTX Plus Pro,
Finjob,6,MG Advanced,
Finjob,16,MG Special,
Bioplex,20,MG Special,
Opentech,22,GTXPro,
unknow,24,GTX Basic,0.0
Finhigh,25,GTX Plus Basic,
Funholding,26,GTXPro,
Isdom,2,MG Advanced,
Plexzap,4,GTXPro,98.0
Cancity,5,GTX Basic,
Isdom,13,MG Special,
Isdom,23,MG Advanced,
Condax,24,GTX Plus Pro,99.0
Toughzap,26,MG Advanced,
Green-Plus,28,GTX Plus Pro,
Codehow,5,GTX Basic,
Dontechi,13,GTX Basic,
Domzoom,14,GTX Basic,
Condax,18,MG Special,
Isdom,26,GTX Plus Pro,98.0
Kinnamplus,27,GTXPro,
Yearin,29,GTX Basic,
Warephase,2,GTXPro,100.0
Green-Plus,3,GTX Plus Basic,100.0
Betatech,8,MG Special,
Treequote,11,GTX Basic,7.000000000000001
unknow,16,GTX Basic,
Ontomedia,20,MG Special,99.0
Rangreen,26,GTX Basic,
Nam-zim,4,GTX Plus Pro,
Gogozoom,6,MG Advanced,
unknow,7,GTXPro,
Treequote,14,MG Advanced,96.0
unknow,7,GTX Basic,
Faxquote,7,GTX Plus Pro,100.0
Kan-code,9,MG Special,
Sonron,9,MG Advanced,3.0
Conecom,0,GTX Basic,99.5
unknow,24,GTXPro,0.0
Warephase,26,GTXPro,
Conecom,26,GTXPro,
unknow,7,GTX Basic,0.0
Konex,7,GTX Plus Pro,
Vehement Capital Partners,15,MG Special,
Konmatfix,18,MG Special,
Fasehatice,19,MG Advanced,
Rundofase,0,GTX Plus Pro,
Stanredtax,0,MG Advanced,
unknow,12,GTX Plus Pro,
Ganjaflex,24,GTX Plus Pro,
Gekko & Co,24,MG Advanced,100.0
Domzoom,2,GTX Basic,
Goodsilron,4,GTX Basic,
unknow,6,GTXPro,0.0
Zoomit,9,GTX Basic,
Funholding,10,MG Special,
Fasehatice,11,GTX Plus Basic,
Gekko & Co,15,GTX Plus Basic,3.0
Plexzap,16,MG Special,94.0
unknow,19,GTX Basic,
Opentech,20,MG Special,
Xx-holding,22,GTXPro,
Codehow,0,GTX Plus Pro,
Opentech,25,GTX Plus Basic,
Gogozoom,26,GTX Basic,97.0
unknow,28,MG Special,
Streethex,5,GTX Basic,
Finjob,6,GTX Basic,
Xx-zobam,15,MG Advanced,
Y-corporation,19,MG Advanced,
Green-Plus,22,GTX Plus Basic,
Goodsilron,22,GTXPro,
Hottechi,0,MG Special,
dambase,24,GTX Plus Basic,
unknow,24,GTX Plus Basic,
Dontechi,5,GTX Basic,
Goodsilron,7,GTX Basic,
Sonron,7,GTXPro,
Zumgoity,10,MG Advanced,
Dontechi,13,GTX Basic,
Zencorporation,20,GTX Basic,
Donware,12,MG Advanced,
Ganjaflex,25,MG Advanced,
Stanredtax,26,GTX Plus Basic,99.0
unknow,3,MG Special,
Doncon,4,GTX Plus Basic,100.0
Sunnamplex,4,GTXPro,
Finjob,7,GTX Basic,
Xx-holding,7,GTX Plus Basic,
Scotfind,19,MG Special,
Ganjaflex,20,MG Special,
Iselectrics,1,GTX Plus Basic,
Genco Pura Olive Oil Company,23,MG Advanced,
unknow,25,GTX Plus Pro,
unknow,4,MG Advanced,
unknow,7,GTX Basic,
Faxquote,7,GTX Basic,
Treequote,10,GTXPro,98.0
Hottechi,19,GTX Plus Basic,
Plexzap,19,MG Advanced,
unknow,21,MG Special,
Funholding,0,MG Advanced,
unknow,25,GTX Plus Pro,
Treequote,26,GTXPro,
Opentech,29,GTX Plus Basic,
Treequote,5,GTXPro,
unknow,6,MG Advanced,0.0
Blackzim,7,GTX Basic,
Goodsilron,19,GTXPro,
Funholding,0,MG Advanced,
unknow,1,GTX Plus Pro,
Codehow,26,GTXPro,
Toughzap,26,MG Special,100.0
Rundofase,2,MG Special,
Funholding,2,MG Special,
Konex,7,GTX Basic,100.0
Treequote,8,GTX Basic,
Zumgoity,8,GTX Basic,
Kinnamplus,15,GTXPro,
Domzoom,18,GTX Basic,2.0
Isdom,0,GTX Basic,
unknow,12,GTX Basic,
Cancity,23,GTX Plus Pro,
unknow,24,MG Special,
Xx-zobam,24,GTX Plus Basic,
Lexiqvolax,11,GTX Plus Basic,
Hottechi,22,MG Advanced,
Newex,22,GTXPro,
dambase,0,GTX Plus Pro,
Ron-tech,8,MG Special,
Konex,9,MG Advanced,
Initech,16,GTX Basic,
Donware,17,MG Special,
Rundofase,20,MG Special,13.0
Yearin,20,MG Special,
Betatech,0,MG Special,
Rundofase,0,MG Special,
Donquadtech,1,GTX Plus Pro,
Mathtouch,12,MG Special,
Betasoloin,24,GTX Plus Pro,100.0
Ontomedia,27,MG Advanced,
Betasoloin,29,GTXPro,
Inity,5,GTX Basic,
unknow,11,MG Special,
Xx-holding,16,MG Advanced,
unknow,19,GTX Plus Pro,
Finjob,19,GTX Basic,
Fasehatice,22,GTX Plus Basic,
Inity,0,MG Special,
Finhigh,26,MG Special,97.0
Kan-code,27,GTXPro,
unknow,3,GTX Plus Pro,0.0
Plusstrip,6,GTXPro,
Singletechno,7,GTX Plus Basic,99.0
Conecom,8,GTX Basic,
Ron-tech,8,GTX Basic,
unknow,9,GTX Basic,
Bioholding,9,MG Special,18.0
Golddex,9,GTX Plus Pro,
Xx-holding,9,MG Advanced,99.0
Hottechi,11,GTX Plus Basic,
unknow,19,GTXPro,0.0
Rantouch,19,GTX Basic,
unknow,20,GTX Plus Pro,
Nam-zim,24,GTXPro,
unknow,24,GTXPro,0.0
Funholding,26,GTX Plus Pro,
Gogozoom,5,GTX Basic,
Plusstrip,6,GTX Plus Basic,
Nam-zim,6,GTX Basic,98.0
Zumgoity,8,MG Advanced,
Golddex,9,GTX Plus Basic,
Rangreen,10,GTX Plus Basic,2.0
Donquadtech,15,GTXPro,
Vehement Capital Partners,24,GTX Basic,
Zumgoity,2,MG Special,
Globex Corporation,5,GTX Basic,99.0
Gogozoom,8,MG Special,100.0
unknow,11,GTX Plus Basic,
Funholding,20,GTX Basic,
Yearin,20,MG Special,100.0
Konmatfix,0,MG Special,
Treequote,0,MG Special,
Vehement Capital Partners,3,MG Advanced,
Iselectrics,4,GTXPro,
Nam-zim,6,GTXPro,
Plusstrip,7,MG Special,
Nam-zim,7,GTX Basic,100.0
Xx-holding,11,GTX Plus Pro,
Green-Plus,11,GTXPro,
Donquadtech,15,MG Special,98.0
unknow,19,MG Special,0.0
Sumace,20,MG Advanced,
Zotware,27,GTXPro,
Codehow,4,MG Advanced,
Golddex,6,GTX Basic,
Scottech,19,GTX Basic,
Hatfan,19,MG Advanced,
Xx-holding,19,GTXPro,
Konex,21,MG Advanced,
Zoomit,24,GTX Plus Pro,8.0
Inity,24,GTXPro,
Initech,24,GTX Plus Basic,
Mathtouch,28,MG Special,
Scotfind,9,MG Special,
Condax,11,GTX Basic,
Goodsilron,11,GTX Plus Pro,
Green-Plus,11,GTXPro,99.0
Warephase,14,GTX Plus Pro,
unknow,19,GTX Basic,
Acme Corporation,21,MG Advanced,
Bubba Gump,25,GTX Plus Basic,
Acme Corporation,6,GTX Plus Pro,
unknow,11,MG Special,0.0
Hottechi,13,MG Special,100.0
Cancity,18,MG Special,100.0
Donware,20,MG Special,
Plussunin,25,MG Advanced,
Inity,2,MG Special,
Warephase,4,GTX Plus Basic,
Genco Pura Olive Oil Company,5,MG Advanced,
Sunnamplex,6,GTX Basic,
Y-corporation,6,GTX Basic,100.0
Cheers,9,GTX Plus Pro,
Hottechi,14,GTX Plus Basic,
Rundofase,14,MG Special,
Faxquote,19,MG Special,
The New York Inquirer,1,GTX Basic,
unknow,25,GTX Plus Pro,
Zotware,29,GTXPro,
Groovestreet,4,GTX Plus Pro,
Conecom,5,GTXPro,
unknow,7,GTXPro,
Dontechi,13,MG Special,
Opentech,29,GTX Basic,100.0
Codehow,2,GTX Basic,
Sonron,4,GTX Basic,97.0
Rantouch,6,GTX Plus Basic,0.0
Faxquote,7,MG Special,
Plexzap,7,MG Advanced,
Xx-holding,7,MG Advanced,
Y-corporation,9,GTX Plus Basic,
Sunnamplex,9,MG Special,6.0
Gogozoom,13,MG Advanced,
unknow,19,MG Special,0.0
Xx-holding,19,GTX Basic,
Lexiqvolax,22,GTX Plus Pro,
Ontomedia,24,GTX Basic,99.0
Konex,25,MG Advanced,99.0
Condax,29,GTX Plus Pro,
Hottechi,5,GTXPro,
Domzoom,5,MG Advanced,
Xx-holding,7,GTXPro,
Hottechi,7,GTXPro,
Labdrill,7,GTXPro,98.0
Warephase,8,MG Advanced,
Domzoom,8,MG Special,
Nam-zim,9,GTXPro,
Codehow,13,GTX Plus Basic,1.0
Lexiqvolax,22,GTX Basic,
Cancity,0,MG Advanced,
Globex Corporation,24,GTXPro,
Ron-tech,26,GTX Basic,
unknow,6,GTX Basic,
J-Texon,6,GTXPro,
Scottech,8,GTX Basic,
unknow,9,GTX Basic,
Betatech,10,MG Special,
Initech,17,GTX Plus Pro,
Konmatfix,18,MG Special,
Y-corporation,22,GTX Plus Basic,
Funholding,26,GTX Plus Basic,100.0
Kan-code,28,GTX Basic,
Codehow,5,MG Special,
Toughzap,13,GTX Basic,
Donquadtech,15,GTX Plus Basic,
unknow,17,MG Advanced,
Inity,0,MG Advanced,
Finhigh,23,MG Advanced,
Hottechi,5,GTX Plus Basic,
dambase,8,MG Special,0.0
Umbrella Corporation,15,GTX Plus Basic,
Konex,16,MG Special,
Rantouch,16,MG Special,
Rundofase,18,MG Special,
Statholdings,18,MG Advanced,
unknow,19,GTX Plus Basic,
Acme Corporation,20,MG Special,
Scotfind,22,GTX Basic,
Kan-code,25,GTXPro,
Warephase,26,GTX Plus Basic,100.0
unknow,6,GTX Basic,
Hatfan,6,GTX Plus Basic,
unknow,19,GTX Basic,
Opentech,12,GTXPro,
Zathunicon,25,GTX Plus Basic,
Lexiqvolax,7,GTX Basic,95.0
J-Texon,9,GTX Basic,
Dalttechnology,11,GTX Basic,100.0
Acme Corporation,15,GTXPro,
Bioplex,17,MG Special,
Hottechi,19,MG Special,
Initech,20,MG Special,
unknow,21,MG Advanced,
Sonron,22,GTXPro,
Vehement Capital Partners,12,GTX Plus Pro,99.0
Domzoom,26,GTXPro,
The New York Inquirer,27,GTX Plus Basic,
Kinnamplus,29,MG Special,98.0
Dalttechnology,6,GTX Plus Basic,
Xx-holding,11,MG Advanced,
Newex,16,MG Advanced,
Hottechi,22,GTX Plus Pro,
Treequote,0,GTX Plus Pro,
Xx-zobam,24,GTX Plus Pro,
Statholdings,26,GTX Plus Basic,98.0
Bluth Company,29,GTX Basic,
Cheers,4,GTX Plus Pro,
Golddex,4,GTX Plus Pro,
Condax,7,GTX Plus Basic,
Finhigh,0,GTX Plus Basic,
Hottechi,0,GTX Plus Basic,
Condax,12,MG Advanced,95.0
Toughzap,24,GTX Plus Basic,
Dontechi,26,GTXPro,
Finhigh,26,GTXPro,
Streethex,26,MG Advanced,
Blackzim,4,GTXPro,6.0
J-Texon,4,GTX Plus Pro,100.0
unknow,11,GTXPro,0.0
Y-corporation,11,GTX Plus Basic,
Bubba Gump,15,MG Advanced,
Konmatfix,22,MG Special,
Condax,0,MG Special,
Acme Corporation,1,GTX Plus Pro,
Umbrella Corporation,12,GTXPro,
Domzoom,23,MG Advanced,
Finjob,28,MG Advanced,96.0
Yearin,29,MG Special,
Funholding,2,MG Special,
Sonron,3,MG Advanced,
Xx-holding,4,GTX Plus Basic,100.0
Rundofase,5,GTX Basic,
Rangreen,5,GTXPro,
unknow,6,MG Advanced,
unknow,9,GTX Basic,0.0
unknow,11,GTX Plus Basic,0.0
Genco Pura Olive Oil Company,14,MG Special,
Zumgoity,18,MG Special,
Hatfan,19,MG Special,
J-Texon,19,MG Special,
Goodsilron,19,MG Advanced,100.0
unknow,22,GTXPro,
Scottech,23,MG Special,
Bubba Gump,24,GTXPro,
Domzoom,26,GTXPro,
Funholding,26,GTXPro,
unknow,28,GTK 500,
Kan-code,4,GTX Plus Pro,
Codehow,10,GTX Plus Basic,
Betatech,13,GTX Plus Pro,
Scotfind,16,GTXPro,
Ron-tech,18,MG Advanced,
Blackzim,19,MG Special,
Kan-code,12,MG Advanced,
unknow,24,GTX Basic,
Zathunicon,25,GTX Plus Basic,
unknow,25,GTX Plus Basic,
Zumgoity,26,GTXPro,100.0
Zoomit,11,GTXPro,0.0
dambase,18,MG Special,
Konmatfix,18,MG Special,
unknow,20,GTX Plus Basic,0.0
Initech,21,GTX Basic,
Toughzap,26,GTX Basic,
Dontechi,26,GTXPro,
Betatech,26,MG Advanced,
Dontechi,2,MG Advanced,
Blackzim,6,MG Special,
Gogozoom,8,GTX Basic,98.0
Codehow,8,MG Advanced,97.0
Groovestreet,16,GTK 500,
Goodsilron,19,GTX Plus Pro,
Scotfind,22,GTX Basic,
unknow,1,GTX Plus Basic,
Cheers,28,GTK 500,
Kan-code,28,MG Special,0.0
Inity,2,MG Advanced,99.0
Warephase,5,GTX Plus Basic,
unknow,6,GTX Plus Basic,
Conecom,14,GTXPro,
Finhigh,18,MG Special,
Condax,19,GTX Plus Basic,
Konex,1,GTX Plus Basic,
Silis,12,GTX Basic,
Condax,24,GTX Basic,
Ganjaflex,25,MG Special,
Umbrella Corporation,27,MG Advanced,1.0
Goodsilron,3,GTX Plus Basic,
Sunnamplex,3,MG Advanced,
Fasehatice,4,GTX Basic,76.0
Globex Corporation,5,GTX Basic,
Golddex,6,GTX Basic,
Golddex,6,GTX Basic,
Lexiqvolax,6,GTX Basic,89.0
Konex,7,GTXPro,
Ron-tech,10,GTX Basic,
Goodsilron,11,GTX Plus Pro,
Codehow,14,GTX Plus Basic,
Bluth Company,15,GTXPro,
unknow,19,MG Special,0.0
Bubba Gump,20,GTXPro,
J-Texon,22,GTX Plus Basic,
Warephase,23,MG Advanced,
Dontechi,24,GTX Basic,24.0
Silis,25,GTX Plus Basic,1.0
Acme Corporation,27,GTX Plus Pro,98.0
Rundofase,2,GTX Plus Basic,
Cheers,3,GTX Plus Basic,
unknow,7,GTX Plus Pro,
Groovestreet,7,GTX Basic,
Sunnamplex,7,GTX Basic,
dambase,14,GTX Basic,1.0
Fasehatice,19,GTX Plus Pro,
Fasehatice,22,GTX Plus Basic,
Konex,22,GTX Plus Basic,
Cancity,0,MG Special,
Sumace,12,GTX Basic,
Yearin,12,MG Advanced,
Betasoloin,12,GTX Basic,
Ron-tech,26,GTX Plus Basic,
Condax,26,GTXPro,
Mathtouch,28,MG Special,
Scotfind,28,MG Advanced,
Isdom,8,GTX Basic,99.0
unknow,11,MG Special,
Inity,13,MG Special,
Mathtouch,15,GTX Basic,100.0
Sonron,19,MG Special,
Green-Plus,19,MG Advanced,
unknow,21,GTX Basic,0.0
Gekko & Co,24,GTX Plus Pro,99.0
Isdom,3,MG Special,
Zoomit,6,GTXPro,
Y-corporation,6,GTX Plus Basic,1.0
unknow,11,MG Special,
Rangreen,13,GTX Plus Basic,100.0
Cheers,19,MG Advanced,98.0
Mathtouch,20,MG Special,3.0
Sonron,22,GTX Basic,2.0
Finjob,22,GTX Basic,
unknow,12,GTXPro,0.0
unknow,25,GTXPro,0.0
Condax,25,MG Advanced,
Funholding,26,GTX Plus Pro,
unknow,28,GTK 500,0.0
Sonron,3,GTX Plus Basic,
Streethex,5,GTX Plus Basic,
Y-corporation,6,GTX Basic,
Umbrella Corporation,6,GTXPro,
Scotfind,6,GTX Plus Pro,
Konmatfix,10,GTX Plus Basic,
unknow,11,GTX Plus Basic,0.0
Zotware,15,MG Advanced,98.0
Condax,17,MG Special,
Finhigh,18,MG Special,100.0
Groovestreet,19,GTXPro,
Singletechno,19,MG Advanced,100.0
unknow,12,GTX Plus Pro,0.0
Betatech,12,MG Special,
unknow,12,MG Advanced,0.0
Plussunin,12,GTX Basic,
Umbrella Corporation,24,MG Special,
Scottech,26,MG Advanced,
Genco Pura Olive Oil Company,28,GTX Basic,
Scotfind,4,MG Special,
Stanredtax,5,GTX Basic,
Codehow,5,GTX Basic,100.0
unknow,6,GTX Plus Basic,
Hottechi,6,GTX Basic,
Condax,6,GTX Plus Basic,
unknow,7,GTXPro,
Conecom,8,GTX Basic,
Condax,10,MG Advanced,
Cancity,10,GTX Plus Pro,
Funholding,14,MG Special,
Groovestreet,16,MG Special,
Globex Corporation,18,MG Advanced,
Konex,19,MG Special,
Plexzap,19,GTX Basic,
Iselectrics,20,MG Special,4.0
Kinnamplus,21,MG Advanced,
Y-corporation,22,GTXPro,
Gogozoom,0,GTX Plus Pro,96.0
Betasoloin,24,GTX Basic,
Bioplex,25,GTX Basic,
Yearin,25,MG Advanced,
Dontechi,26,GTXPro,
Statholdings,26,GTXPro,0.0
Zumgoity,26,GTXPro,
Acme Corporation,27,GTX Plus Pro,
Groovestreet,3,GTX Plus Basic,
Plexzap,3,GTX Plus Basic,
Faxquote,7,GTX Basic,
Rangreen,10,GTX Plus Basic,97.0
Plexzap,11,GTX Plus Pro,
Funholding,14,GTX Basic,
Dontechi,14,GTX Basic,
Mathtouch,15,GTX Plus Basic,
Konex,19,GTX Basic,
Sonron,19,MG Advanced,
Golddex,1,MG Advanced,
Ontomedia,12,GTXPro,
Rangreen,26,GTX Plus Basic,
Umbrella Corporation,27,GTXPro,
Sunnamplex,28,MG Special,4.0
Rantouch,28,MG Special,
Scotfind,6,GTX Basic,
Sonron,6,GTX Basic,
Isdom,8,GTX Basic,0.0
Opentech,15,GTX Basic,
Kan-code,15,MG Advanced,
Zathunicon,15,MG Advanced,
Inity,26,GTX Plus Basic,
Donquadtech,27,GTX Basic,
Hatfan,28,MG Special,
unknow,4,GTX Plus Pro,
Statholdings,5,GTX Plus Basic,
Cheers,6,GTX Basic,
Labdrill,6,MG Advanced,
unknow,7,GTX Basic,
Konex,7,GTX Basic,
Scotfind,9,MG Special,3.0
