Patient ID,Specialty,Referral Source,Engagement History,Website Interactions,Lead Source,Conversion Probability,Lead Score
L66886,Pediatrics,Doctor Referral,Visited website 1 times,Visited 3 pages,Referral,70.0,35.94
L76803,Pediatrics,Doctor Referral,Visited website 6 times,Visited 1 pages,Organic Search,75.0,47.98
L41551,Neurology,Doctor Referral,Visited website 9 times,Visited 3 pages,Referral,34.0,62.37
L21394,Orthopedics,Doctor Referral,Visited website 6 times,Visited 4 pages,Referral,72.0,66.56
L79092,Pediatrics,Doctor Referral,Visited website 4 times,Visited 1 pages,Organic Search,68.0,41.68
L13890,Pediatrics,Word of Mouth,Visited website 1 times,Visited 2 pages,Referral,77.0,27.39
L51606,Cardiology,Digital Ad,Visited website 7 times,Visited 1 pages,Organic Search,69.0,82.59
L90038,Pediatrics,Digital Ad,Visited website 7 times,Visited 3 pages,Organic Search,35.0,29.03
L97313,Neurology,Word of Mouth,Visited website 8 times,Visited 1 pages,Organic Search,31.0,51.25
L20627,Cardiology,Doctor Referral,Visited website 6 times,Visited 2 pages,Organic Search,30.0,69.74
L18792,Cardiology,Word of Mouth,Visited website 9 times,Visited 4 pages,Organic Search,65.0,83.31
L83969,Neurology,Doctor Referral,Visited website 5 times,Visited 4 pages,Digital Ad,36.0,53.56
L53001,Cardiology,Doctor Referral,Visited website 4 times,Visited 2 pages,Referral,62.0,76.29
L86552,Neurology,Digital Ad,Visited website 1 times,Visited 4 pages,Digital Ad,40.0,44.14
L33897,Neurology,Digital Ad,Visited website 4 times,Visited 1 pages,Digital Ad,39.0,43.68
L78148,Neurology,Doctor Referral,Visited website 3 times,Visited 1 pages,Referral,52.0,58.37
L33483,Pediatrics,Word of Mouth,Visited website 4 times,Visited 4 pages,Referral,53.0,24.01
L58555,Cardiology,Word of Mouth,Visited website 8 times,Visited 4 pages,Digital Ad,42.0,60.93
L27159,Orthopedics,Word of Mouth,Visited website 1 times,Visited 1 pages,Referral,39.0,28.83
L90077,Pediatrics,Word of Mouth,Visited website 4 times,Visited 4 pages,Organic Search,63.0,33.74
L45920,Orthopedics,Digital Ad,Visited website 1 times,Visited 1 pages,Organic Search,59.0,48.28
L77121,Cardiology,Doctor Referral,Visited website 1 times,Visited 2 pages,Organic Search,75.0,82.8
L79479,Neurology,Digital Ad,Visited website 7 times,Visited 1 pages,Organic Search,61.0,68.66
L99475,Orthopedics,Doctor Referral,Visited website 8 times,Visited 4 pages,Referral,70.0,68.71
L29457,Pediatrics,Doctor Referral,Visited website 4 times,Visited 3 pages,Organic Search,33.0,28.62
L76557,Neurology,Word of Mouth,Visited website 3 times,Visited 1 pages,Digital Ad,54.0,43.93
L87189,Orthopedics,Digital Ad,Visited website 1 times,Visited 3 pages,Digital Ad,78.0,49.87
L88953,Cardiology,Doctor Referral,Visited website 6 times,Visited 4 pages,Organic Search,41.0,77.88
L62995,Orthopedics,Word of Mouth,Visited website 7 times,Visited 4 pages,Organic Search,63.0,58.83
L50757,Pediatrics,Doctor Referral,Visited website 7 times,Visited 2 pages,Referral,68.0,42.7
L19692,Cardiology,Digital Ad,Visited website 2 times,Visited 1 pages,Referral,45.0,58.73
L55758,Neurology,Word of Mouth,Visited website 7 times,Visited 4 pages,Digital Ad,49.0,52.38
L82409,Pediatrics,Doctor Referral,Visited website 2 times,Visited 3 pages,Organic Search,58.0,37.07
L81211,Neurology,Word of Mouth,Visited website 1 times,Visited 2 pages,Organic Search,38.0,45.26
L75697,Cardiology,Word of Mouth,Visited website 1 times,Visited 1 pages,Organic Search,72.0,69.64
L47065,Orthopedics,Word of Mouth,Visited website 3 times,Visited 4 pages,Referral,40.0,36.97
L42606,Pediatrics,Doctor Referral,Visited website 3 times,Visited 4 pages,Digital Ad,38.0,20.69
L21534,Neurology,Doctor Referral,Visited website 7 times,Visited 2 pages,Referral,48.0,64.21
L50397,Cardiology,Word of Mouth,Visited website 1 times,Visited 2 pages,Referral,46.0,54.07
L11016,Cardiology,Digital Ad,Visited website 8 times,Visited 1 pages,Digital Ad,56.0,67.9
L99789,Orthopedics,Doctor Referral,Visited website 3 times,Visited 3 pages,Digital Ad,33.0,37.33
L65591,Pediatrics,Doctor Referral,Visited website 3 times,Visited 4 pages,Digital Ad,50.0,26.22
L99812,Orthopedics,Doctor Referral,Visited website 4 times,Visited 4 pages,Digital Ad,43.0,45.01
L33247,Cardiology,Doctor Referral,Visited website 3 times,Visited 2 pages,Referral,37.0,63.24
L34300,Orthopedics,Doctor Referral,Visited website 9 times,Visited 2 pages,Organic Search,48.0,62.16
L84065,Pediatrics,Digital Ad,Visited website 7 times,Visited 1 pages,Digital Ad,49.0,22.17
L92798,Cardiology,Doctor Referral,Visited website 7 times,Visited 1 pages,Organic Search,45.0,76.65
L19268,Neurology,Doctor Referral,Visited website 5 times,Visited 2 pages,Referral,71.0,71.74
L96807,Cardiology,Digital Ad,Visited website 8 times,Visited 4 pages,Organic Search,30.0,70.76
L22185,Orthopedics,Doctor Referral,Visited website 6 times,Visited 2 pages,Digital Ad,66.0,55.61
L73704,Orthopedics,Word of Mouth,Visited website 7 times,Visited 3 pages,Digital Ad,36.0,34.61
L96779,Orthopedics,Doctor Referral,Visited website 5 times,Visited 3 pages,Referral,54.0,55.2
L49099,Orthopedics,Doctor Referral,Visited website 5 times,Visited 2 pages,Organic Search,61.0,62.01
L18571,Cardiology,Digital Ad,Visited website 3 times,Visited 2 pages,Organic Search,38.0,63.7
L48044,Pediatrics,Doctor Referral,Visited website 8 times,Visited 3 pages,Organic Search,68.0,50.9
L61214,Cardiology,Digital Ad,Visited website 2 times,Visited 1 pages,Organic Search,57.0,69.38
L71228,Pediatrics,Word of Mouth,Visited website 3 times,Visited 4 pages,Organic Search,78.0,39.12
L58984,Cardiology,Doctor Referral,Visited website 9 times,Visited 4 pages,Referral,67.0,89.35
L50774,Cardiology,Word of Mouth,Visited website 2 times,Visited 2 pages,Organic Search,33.0,54.74
L12568,Pediatrics,Digital Ad,Visited website 2 times,Visited 3 pages,Organic Search,75.0,39.78
L72592,Orthopedics,Doctor Referral,Visited website 8 times,Visited 3 pages,Digital Ad,49.0,52.38
L77563,Pediatrics,Doctor Referral,Visited website 8 times,Visited 2 pages,Referral,53.0,37.33
L12695,Pediatrics,Word of Mouth,Visited website 1 times,Visited 2 pages,Digital Ad,46.0,7.99
L58190,Neurology,Word of Mouth,Visited website 8 times,Visited 4 pages,Digital Ad,65.0,61.29
L15258,Neurology,Digital Ad,Visited website 4 times,Visited 4 pages,Referral,40.0,53.87
L97538,Orthopedics,Doctor Referral,Visited website 9 times,Visited 3 pages,Digital Ad,46.0,52.53
L49504,Neurology,Digital Ad,Visited website 5 times,Visited 3 pages,Referral,33.0,50.64
L43159,Cardiology,Doctor Referral,Visited website 9 times,Visited 2 pages,Digital Ad,37.0,67.33
L23986,Neurology,Word of Mouth,Visited website 3 times,Visited 3 pages,Digital Ad,30.0,35.94
L71858,Pediatrics,Doctor Referral,Visited website 8 times,Visited 4 pages,Referral,33.0,31.18
L22666,Cardiology,Doctor Referral,Visited website 7 times,Visited 1 pages,Referral,57.0,77.06
L48660,Pediatrics,Word of Mouth,Visited website 1 times,Visited 1 pages,Digital Ad,42.0,4.61
L13561,Cardiology,Digital Ad,Visited website 5 times,Visited 3 pages,Referral,40.0,64.11
L36854,Pediatrics,Digital Ad,Visited website 7 times,Visited 3 pages,Digital Ad,34.0,18.33
L74505,Cardiology,Digital Ad,Visited website 5 times,Visited 2 pages,Organic Search,70.0,81.52
L62251,Orthopedics,Digital Ad,Visited website 5 times,Visited 4 pages,Digital Ad,55.0,46.95
L32662,Pediatrics,Word of Mouth,Visited website 9 times,Visited 1 pages,Referral,47.0,24.32
L18392,Pediatrics,Digital Ad,Visited website 9 times,Visited 3 pages,Digital Ad,64.0,35.23
L40535,Cardiology,Doctor Referral,Visited website 6 times,Visited 2 pages,Organic Search,37.0,72.96
L88603,Pediatrics,Digital Ad,Visited website 9 times,Visited 1 pages,Organic Search,34.0,28.57
L62256,Orthopedics,Doctor Referral,Visited website 1 times,Visited 4 pages,Referral,46.0,46.9
L99135,Pediatrics,Word of Mouth,Visited website 2 times,Visited 4 pages,Organic Search,51.0,25.14
L45222,Orthopedics,Digital Ad,Visited website 6 times,Visited 2 pages,Organic Search,50.0,53.35
L87373,Neurology,Doctor Referral,Visited website 5 times,Visited 3 pages,Organic Search,34.0,61.34
L89575,Neurology,Word of Mouth,Visited website 5 times,Visited 3 pages,Referral,35.0,46.44
L94651,Neurology,Digital Ad,Visited website 2 times,Visited 4 pages,Digital Ad,72.0,60.42
L73335,Orthopedics,Word of Mouth,Visited website 5 times,Visited 2 pages,Organic Search,71.0,56.37
L20965,Orthopedics,Word of Mouth,Visited website 1 times,Visited 2 pages,Digital Ad,60.0,34.92
L34538,Cardiology,Word of Mouth,Visited website 5 times,Visited 2 pages,Digital Ad,68.0,65.23
L80592,Pediatrics,Word of Mouth,Visited website 1 times,Visited 2 pages,Organic Search,75.0,31.59
L18110,Orthopedics,Word of Mouth,Visited website 3 times,Visited 3 pages,Referral,68.0,48.34
L89309,Cardiology,Digital Ad,Visited website 9 times,Visited 3 pages,Digital Ad,78.0,82.64
L37266,Neurology,Word of Mouth,Visited website 9 times,Visited 3 pages,Digital Ad,51.0,54.84
L62992,Pediatrics,Digital Ad,Visited website 1 times,Visited 3 pages,Referral,32.0,13.31
L92948,Orthopedics,Doctor Referral,Visited website 1 times,Visited 3 pages,Organic Search,67.0,60.16
L16910,Cardiology,Word of Mouth,Visited website 6 times,Visited 3 pages,Digital Ad,37.0,54.02
L10206,Cardiology,Doctor Referral,Visited website 7 times,Visited 1 pages,Referral,43.0,70.61
L97054,Orthopedics,Doctor Referral,Visited website 8 times,Visited 3 pages,Referral,62.0,63.49
L97897,Neurology,Doctor Referral,Visited website 7 times,Visited 4 pages,Referral,52.0,69.12
L33419,Cardiology,Doctor Referral,Visited website 8 times,Visited 1 pages,Digital Ad,53.0,71.63
L60636,Orthopedics,Word of Mouth,Visited website 7 times,Visited 1 pages,Digital Ad,45.0,35.69
L60015,Orthopedics,Digital Ad,Visited website 7 times,Visited 1 pages,Referral,43.0,45.01
L64268,Cardiology,Word of Mouth,Visited website 9 times,Visited 1 pages,Organic Search,77.0,84.23
L97939,Pediatrics,Digital Ad,Visited website 4 times,Visited 2 pages,Referral,39.0,19.61
L28141,Pediatrics,Doctor Referral,Visited website 8 times,Visited 2 pages,Referral,61.0,41.01
L90356,Pediatrics,Digital Ad,Visited website 6 times,Visited 2 pages,Organic Search,39.0,27.8
L81910,Cardiology,Digital Ad,Visited website 4 times,Visited 2 pages,Digital Ad,60.0,65.13
L66044,Cardiology,Doctor Referral,Visited website 5 times,Visited 2 pages,Digital Ad,35.0,60.27
L77214,Orthopedics,Word of Mouth,Visited website 4 times,Visited 1 pages,Digital Ad,60.0,37.99
L43827,Orthopedics,Digital Ad,Visited website 4 times,Visited 2 pages,Digital Ad,46.0,38.2
L65820,Orthopedics,Word of Mouth,Visited website 7 times,Visited 1 pages,Referral,46.0,41.27
L72623,Neurology,Doctor Referral,Visited website 4 times,Visited 1 pages,Organic Search,74.0,75.17
L91734,Neurology,Digital Ad,Visited website 5 times,Visited 4 pages,Referral,48.0,59.09
L85450,Pediatrics,Digital Ad,Visited website 6 times,Visited 2 pages,Digital Ad,76.0,34.61
L32299,Orthopedics,Digital Ad,Visited website 1 times,Visited 3 pages,Organic Search,51.0,47.67
L53585,Cardiology,Doctor Referral,Visited website 3 times,Visited 1 pages,Referral,53.0,69.07
L74044,Orthopedics,Doctor Referral,Visited website 9 times,Visited 3 pages,Referral,48.0,58.58
L52557,Orthopedics,Word of Mouth,Visited website 7 times,Visited 1 pages,Referral,49.0,42.65
L59080,Pediatrics,Digital Ad,Visited website 2 times,Visited 2 pages,Referral,49.0,21.15
L12693,Neurology,Digital Ad,Visited website 6 times,Visited 2 pages,Digital Ad,39.0,48.28
L79163,Orthopedics,Digital Ad,Visited website 8 times,Visited 4 pages,Referral,35.0,47.47
L35939,Cardiology,Word of Mouth,Visited website 7 times,Visited 4 pages,Digital Ad,44.0,60.32
L58925,Pediatrics,Doctor Referral,Visited website 3 times,Visited 3 pages,Digital Ad,69.0,33.44
L52941,Neurology,Doctor Referral,Visited website 4 times,Visited 1 pages,Digital Ad,46.0,52.02
L31834,Orthopedics,Digital Ad,Visited website 1 times,Visited 4 pages,Referral,31.0,34.87
L28047,Neurology,Doctor Referral,Visited website 5 times,Visited 1 pages,Organic Search,51.0,66.1
L36105,Cardiology,Doctor Referral,Visited website 3 times,Visited 1 pages,Digital Ad,40.0,57.96
L85766,Cardiology,Doctor Referral,Visited website 4 times,Visited 1 pages,Organic Search,79.0,87.71
L25707,Orthopedics,Word of Mouth,Visited website 4 times,Visited 3 pages,Referral,71.0,51.25
L31976,Pediatrics,Word of Mouth,Visited website 2 times,Visited 4 pages,Organic Search,50.0,24.68
L54262,Pediatrics,Doctor Referral,Visited website 8 times,Visited 3 pages,Organic Search,46.0,40.76
L33776,Pediatrics,Doctor Referral,Visited website 3 times,Visited 3 pages,Digital Ad,63.0,30.67
L40080,Pediatrics,Doctor Referral,Visited website 4 times,Visited 2 pages,Digital Ad,51.0,25.14
L76842,Pediatrics,Doctor Referral,Visited website 4 times,Visited 2 pages,Referral,38.0,24.27
L71373,Orthopedics,Digital Ad,Visited website 7 times,Visited 1 pages,Organic Search,35.0,46.44
L16776,Neurology,Word of Mouth,Visited website 9 times,Visited 1 pages,Organic Search,77.0,73.99
L65016,Cardiology,Digital Ad,Visited website 7 times,Visited 2 pages,Organic Search,77.0,87.81
L19474,Orthopedics,Word of Mouth,Visited website 2 times,Visited 4 pages,Digital Ad,40.0,30.31
L68053,Cardiology,Word of Mouth,Visited website 8 times,Visited 2 pages,Organic Search,38.0,66.26
L31959,Orthopedics,Doctor Referral,Visited website 7 times,Visited 1 pages,Organic Search,46.0,56.63
L15530,Orthopedics,Digital Ad,Visited website 8 times,Visited 1 pages,Referral,45.0,47.47
L13748,Cardiology,Doctor Referral,Visited website 2 times,Visited 1 pages,Digital Ad,79.0,74.4
L23545,Orthopedics,Doctor Referral,Visited website 1 times,Visited 1 pages,Organic Search,43.0,46.03
L76199,Orthopedics,Doctor Referral,Visited website 2 times,Visited 1 pages,Referral,37.0,39.68
L44766,Orthopedics,Doctor Referral,Visited website 3 times,Visited 2 pages,Organic Search,38.0,48.34
L83530,Orthopedics,Digital Ad,Visited website 9 times,Visited 2 pages,Referral,55.0,55.15
L71087,Orthopedics,Doctor Referral,Visited website 3 times,Visited 4 pages,Digital Ad,64.0,53.15
L78840,Pediatrics,Word of Mouth,Visited website 5 times,Visited 4 pages,Digital Ad,62.0,24.58
L64384,Orthopedics,Word of Mouth,Visited website 9 times,Visited 4 pages,Organic Search,76.0,67.9
L61005,Orthopedics,Doctor Referral,Visited website 1 times,Visited 2 pages,Organic Search,78.0,63.7
L56576,Orthopedics,Word of Mouth,Visited website 7 times,Visited 1 pages,Organic Search,34.0,40.86
L49353,Neurology,Word of Mouth,Visited website 7 times,Visited 2 pages,Digital Ad,48.0,48.85
L72003,Orthopedics,Digital Ad,Visited website 9 times,Visited 4 pages,Referral,49.0,55.45
L93211,Orthopedics,Word of Mouth,Visited website 9 times,Visited 4 pages,Referral,47.0,49.41
L62733,Neurology,Word of Mouth,Visited website 9 times,Visited 2 pages,Referral,42.0,54.28
L75318,Neurology,Doctor Referral,Visited website 1 times,Visited 1 pages,Digital Ad,67.0,57.09
L99474,Cardiology,Digital Ad,Visited website 5 times,Visited 1 pages,Organic Search,45.0,68.46
L33664,Cardiology,Doctor Referral,Visited website 2 times,Visited 3 pages,Organic Search,41.0,70.2
L77172,Cardiology,Digital Ad,Visited website 8 times,Visited 4 pages,Referral,61.0,79.93
L95616,Cardiology,Digital Ad,Visited website 1 times,Visited 2 pages,Organic Search,76.0,78.14
L36736,Neurology,Doctor Referral,Visited website 9 times,Visited 1 pages,Referral,79.0,80.03
L10854,Cardiology,Doctor Referral,Visited website 3 times,Visited 1 pages,Referral,61.0,72.76
L48623,Orthopedics,Digital Ad,Visited website 1 times,Visited 3 pages,Referral,37.0,36.1
L17392,Neurology,Word of Mouth,Visited website 4 times,Visited 4 pages,Referral,37.0,47.36
L65680,Pediatrics,Digital Ad,Visited website 8 times,Visited 1 pages,Referral,44.0,26.52
L56717,Orthopedics,Digital Ad,Visited website 6 times,Visited 1 pages,Organic Search,76.0,63.8
L97092,Pediatrics,Digital Ad,Visited website 3 times,Visited 2 pages,Organic Search,42.0,24.58
L60859,Cardiology,Digital Ad,Visited website 5 times,Visited 1 pages,Digital Ad,30.0,51.31
L36309,Cardiology,Doctor Referral,Visited website 3 times,Visited 1 pages,Referral,34.0,60.32
L97455,Orthopedics,Digital Ad,Visited website 1 times,Visited 1 pages,Referral,57.0,42.24
L73734,Cardiology,Doctor Referral,Visited website 4 times,Visited 3 pages,Referral,51.0,72.76
L80467,Cardiology,Doctor Referral,Visited website 7 times,Visited 4 pages,Referral,64.0,84.9
L62662,Cardiology,Digital Ad,Visited website 9 times,Visited 2 pages,Organic Search,73.0,89.04
L22688,Cardiology,Word of Mouth,Visited website 1 times,Visited 1 pages,Organic Search,61.0,64.57
L35342,Pediatrics,Word of Mouth,Visited website 5 times,Visited 4 pages,Referral,56.0,26.93
L47157,Orthopedics,Word of Mouth,Visited website 8 times,Visited 1 pages,Organic Search,68.0,58.06
L77863,Cardiology,Digital Ad,Visited website 9 times,Visited 3 pages,Organic Search,75.0,91.5
L62083,Pediatrics,Doctor Referral,Visited website 9 times,Visited 2 pages,Organic Search,48.0,41.68
L75733,Neurology,Doctor Referral,Visited website 7 times,Visited 3 pages,Digital Ad,71.0,71.22
L99045,Orthopedics,Word of Mouth,Visited website 9 times,Visited 4 pages,Referral,41.0,46.65
L44698,Orthopedics,Word of Mouth,Visited website 2 times,Visited 1 pages,Digital Ad,37.0,24.32
L90623,Neurology,Digital Ad,Visited website 2 times,Visited 1 pages,Digital Ad,61.0,50.74
L32671,Cardiology,Digital Ad,Visited website 7 times,Visited 3 pages,Referral,77.0,84.23
L35184,Orthopedics,Digital Ad,Visited website 6 times,Visited 4 pages,Organic Search,76.0,68.41
L52107,Neurology,Doctor Referral,Visited website 6 times,Visited 2 pages,Organic Search,65.0,75.63
L96202,Neurology,Word of Mouth,Visited website 1 times,Visited 1 pages,Referral,58.0,47.82
L61663,Pediatrics,Doctor Referral,Visited website 5 times,Visited 2 pages,Digital Ad,30.0,17.0
L25708,Neurology,Word of Mouth,Visited website 4 times,Visited 4 pages,Referral,69.0,62.11
L59811,Orthopedics,Digital Ad,Visited website 5 times,Visited 3 pages,Organic Search,75.0,64.87
L12811,Neurology,Doctor Referral,Visited website 8 times,Visited 4 pages,Digital Ad,56.0,67.38
L66250,Neurology,Digital Ad,Visited website 6 times,Visited 2 pages,Digital Ad,62.0,58.88
L82082,Neurology,Word of Mouth,Visited website 1 times,Visited 1 pages,Referral,37.0,38.15
L44754,Orthopedics,Word of Mouth,Visited website 5 times,Visited 4 pages,Digital Ad,71.0,49.21
L21411,Neurology,Word of Mouth,Visited website 1 times,Visited 1 pages,Digital Ad,72.0,49.16
L12911,Pediatrics,Doctor Referral,Visited website 2 times,Visited 4 pages,Referral,46.0,27.96
L77270,Orthopedics,Word of Mouth,Visited website 1 times,Visited 2 pages,Digital Ad,60.0,34.92
L93763,Pediatrics,Doctor Referral,Visited website 1 times,Visited 3 pages,Organic Search,34.0,24.48
L18680,Pediatrics,Word of Mouth,Visited website 9 times,Visited 4 pages,Referral,66.0,37.69
L94896,Orthopedics,Digital Ad,Visited website 7 times,Visited 3 pages,Digital Ad,49.0,45.72
L93879,Neurology,Doctor Referral,Visited website 7 times,Visited 2 pages,Organic Search,64.0,76.7
L81295,Cardiology,Digital Ad,Visited website 2 times,Visited 4 pages,Organic Search,67.0,78.6
L98614,Orthopedics,Digital Ad,Visited website 5 times,Visited 4 pages,Organic Search,35.0,47.98
L21111,Neurology,Doctor Referral,Visited website 3 times,Visited 2 pages,Referral,30.0,49.77
L47504,Orthopedics,Digital Ad,Visited website 3 times,Visited 4 pages,Organic Search,56.0,54.58
L11802,Neurology,Doctor Referral,Visited website 3 times,Visited 1 pages,Organic Search,65.0,69.48
L18155,Neurology,Doctor Referral,Visited website 4 times,Visited 3 pages,Digital Ad,55.0,59.24
L83656,Cardiology,Word of Mouth,Visited website 5 times,Visited 4 pages,Digital Ad,34.0,52.64
L49384,Orthopedics,Doctor Referral,Visited website 8 times,Visited 4 pages,Digital Ad,32.0,46.08
L57254,Orthopedics,Digital Ad,Visited website 5 times,Visited 4 pages,Digital Ad,42.0,40.96
L31918,Orthopedics,Digital Ad,Visited website 9 times,Visited 4 pages,Organic Search,40.0,56.43
L95981,Pediatrics,Doctor Referral,Visited website 8 times,Visited 1 pages,Organic Search,79.0,52.89
L70713,Orthopedics,Word of Mouth,Visited website 2 times,Visited 1 pages,Referral,71.0,45.11
L40306,Pediatrics,Doctor Referral,Visited website 8 times,Visited 3 pages,Digital Ad,41.0,28.21
L26646,Pediatrics,Word of Mouth,Visited website 5 times,Visited 4 pages,Digital Ad,75.0,30.57
L56843,Neurology,Digital Ad,Visited website 9 times,Visited 1 pages,Digital Ad,58.0,60.11
L26371,Pediatrics,Digital Ad,Visited website 5 times,Visited 4 pages,Digital Ad,39.0,19.1
L87371,Orthopedics,Doctor Referral,Visited website 9 times,Visited 1 pages,Digital Ad,34.0,43.93
L12049,Cardiology,Doctor Referral,Visited website 4 times,Visited 4 pages,Digital Ad,47.0,67.33
L41616,Orthopedics,Doctor Referral,Visited website 3 times,Visited 3 pages,Organic Search,72.0,65.54
L30932,Neurology,Word of Mouth,Visited website 5 times,Visited 3 pages,Referral,44.0,50.59
L39855,Neurology,Doctor Referral,Visited website 7 times,Visited 1 pages,Organic Search,39.0,63.65
L71434,Pediatrics,Word of Mouth,Visited website 1 times,Visited 3 pages,Organic Search,50.0,21.61
L82694,Neurology,Word of Mouth,Visited website 3 times,Visited 3 pages,Digital Ad,63.0,51.15
L53016,Neurology,Digital Ad,Visited website 4 times,Visited 1 pages,Referral,41.0,49.72
L17400,Pediatrics,Doctor Referral,Visited website 8 times,Visited 2 pages,Organic Search,40.0,36.46
L52642,Pediatrics,Digital Ad,Visited website 1 times,Visited 2 pages,Digital Ad,36.0,8.5
L25151,Neurology,Digital Ad,Visited website 1 times,Visited 1 pages,Organic Search,38.0,48.85
L61407,Orthopedics,Digital Ad,Visited website 1 times,Visited 1 pages,Organic Search,32.0,35.84
L76690,Orthopedics,Word of Mouth,Visited website 1 times,Visited 3 pages,Organic Search,67.0,49.92
L14499,Pediatrics,Doctor Referral,Visited website 6 times,Visited 3 pages,Organic Search,51.0,39.99
L16295,Neurology,Digital Ad,Visited website 8 times,Visited 4 pages,Digital Ad,66.0,66.87
L69040,Neurology,Word of Mouth,Visited website 8 times,Visited 3 pages,Referral,45.0,55.66
L22183,Orthopedics,Word of Mouth,Visited website 5 times,Visited 4 pages,Organic Search,70.0,58.99
L39299,Pediatrics,Digital Ad,Visited website 3 times,Visited 3 pages,Digital Ad,37.0,13.57
L22874,Neurology,Word of Mouth,Visited website 3 times,Visited 3 pages,Referral,59.0,54.43
L42711,Neurology,Word of Mouth,Visited website 8 times,Visited 3 pages,Digital Ad,53.0,54.22
L15539,Cardiology,Word of Mouth,Visited website 4 times,Visited 2 pages,Referral,77.0,72.96
L63351,Cardiology,Doctor Referral,Visited website 8 times,Visited 4 pages,Organic Search,66.0,92.47
L71267,Pediatrics,Digital Ad,Visited website 4 times,Visited 2 pages,Referral,75.0,36.2
L58354,Cardiology,Word of Mouth,Visited website 9 times,Visited 3 pages,Organic Search,32.0,66.56
L12557,Cardiology,Word of Mouth,Visited website 2 times,Visited 4 pages,Digital Ad,32.0,47.11
L48360,Neurology,Word of Mouth,Visited website 1 times,Visited 1 pages,Referral,64.0,50.59
L92018,Neurology,Digital Ad,Visited website 4 times,Visited 1 pages,Organic Search,51.0,59.45
L12200,Pediatrics,Doctor Referral,Visited website 4 times,Visited 3 pages,Digital Ad,32.0,17.92
L78497,Pediatrics,Word of Mouth,Visited website 4 times,Visited 3 pages,Referral,55.0,23.4
L56975,Pediatrics,Word of Mouth,Visited website 3 times,Visited 2 pages,Organic Search,42.0,19.46
